DIMANCHE-00	70301	17.22	3.25	18.9	1210730.14
DIMANCHE-01	59528	16.36	3.13	19.1	974046.02
DIMANCHE-02	41641	16.18	3.05	18.9	673911.50
DIMANCHE-03	31886	16.75	3.04	18.2	533932.43
DIMANCHE-04	17418	19.46	3.19	16.4	338987.81
DIMANCHE-05	7020	28.89	4.35	15.1	202840.88
DIMANCHE-06	10065	29.77	4.47	15.0	299684.31
DIMANCHE-07	14707	25.79	4.02	15.6	379295.84
DIMANCHE-08	21564	20.87	3.49	16.7	450007.19
DIMANCHE-09	34697	18.62	3.19	17.1	646001.04
DIMANCHE-10	50591	17.81	3.17	17.8	900896.88
DIMANCHE-11	59955	17.41	3.14	18.1	1043938.42
DIMANCHE-12	69058	18.48	3.30	17.9	1276336.09
DIMANCHE-13	71919	19.64	3.47	17.7	1412209.53
DIMANCHE-14	74685	20.72	3.68	17.8	1547515.59
DIMANCHE-15	71973	21.17	3.69	17.4	1523578.43
DIMANCHE-16	73726	21.07	3.73	17.7	1553193.60
DIMANCHE-17	73658	20.59	3.70	18.0	1516627.60
DIMANCHE-18	68950	19.26	3.50	18.2	1328251.44
DIMANCHE-19	58050	20.17	3.62	17.9	1170950.52
DIMANCHE-20	51229	20.70	3.87	18.7	1060575.74
DIMANCHE-21	48780	21.97	4.09	18.6	1071715.68
DIMANCHE-22	42587	23.58	4.21	17.8	1004317.75
DIMANCHE-23	31548	25.81	4.49	17.4	814302.66
JEUDI-00	24845	21.24	3.71	17.5	527613.22
JEUDI-01	12109	20.35	3.45	17.0	246392.04
JEUDI-02	6514	18.78	3.01	16.0	122348.58
JEUDI-03	4130	21.05	3.20	15.2	86952.02
JEUDI-04	4108	28.83	4.59	15.9	118445.53
JEUDI-05	7895	26.08	4.24	16.3	205879.50
JEUDI-06	23415	20.81	3.42	16.4	487312.49
JEUDI-07	49945	18.03	3.23	17.9	900641.75
JEUDI-08	67802	17.04	3.14	18.4	1155210.21
JEUDI-09	70030	17.68	3.25	18.4	1237815.02
JEUDI-10	68956	18.07	3.21	17.8	1246105.27
JEUDI-11	74132	18.48	3.30	17.8	1370072.64
JEUDI-12	77768	18.74	3.34	17.8	1457688.60
JEUDI-13	79320	19.52	3.45	17.7	1548248.86
JEUDI-14	88049	20.25	3.58	17.7	1782765.95
JEUDI-15	90778	20.01	3.50	17.5	1816882.22
JEUDI-16	90066	20.43	3.91	19.1	1839797.14
JEUDI-17	100681	18.91	3.77	19.9	1904064.03
JEUDI-18	111071	17.45	3.60	20.6	1938718.39
JEUDI-19	95559	17.45	3.60	20.6	1667595.66
JEUDI-20	88236	18.01	3.56	19.8	1589028.37
JEUDI-21	89018	17.82	3.60	20.2	1586122.73
JEUDI-22	80462	18.74	3.66	19.5	1508163.95
JEUDI-23	60148	19.93	3.75	18.8	1198943.36
LUNDI-00	18157	26.30	4.33	16.4	477465.81
LUNDI-01	9019	24.56	3.89	15.9	221516.64
LUNDI-02	5036	20.18	3.05	15.1	101641.17
LUNDI-03	3582	22.55	3.37	15.0	80779.00
LUNDI-04	3731	27.48	4.01	14.6	102542.69
LUNDI-05	7256	27.50	4.15	15.1	199528.39
LUNDI-06	19955	23.86	3.78	15.9	476142.33
LUNDI-07	38800	19.89	3.43	17.2	771661.80
LUNDI-08	52280	18.27	3.25	17.8	955198.44
LUNDI-09	55001	18.59	3.33	17.9	1022329.21
LUNDI-10	56969	18.63	3.29	17.7	1061267.90
